2024-12-06T11:19:38.003869 | Position: 55.471542, 10.324294, 53.17 m | Raw Position: 55.471542, 10.324294, 53.04 m | RSSI: -27.0 | Remote RSSI: -28.1
2024-12-06T11:19:39.003784 | Position: 55.471542, 10.324294, 53.15 m | Raw Position: 55.471542, 10.324294, 53.02 m | RSSI: -25.9 | Remote RSSI: -25.4
2024-12-06T11:19:40.003761 | Position: 55.471542, 10.324294, 53.13 m | Raw Position: 55.471543, 10.324294, 53.03 m | RSSI: -27.0 | Remote RSSI: -24.9
2024-12-06T11:19:41.003758 | Position: 55.471542, 10.324294, 53.12 m | Raw Position: 55.471543, 10.324294, 53.03 m | RSSI: -27.5 | Remote RSSI: -24.9
2024-12-06T11:19:42.003815 | Position: 55.471542, 10.324294, 53.10 m | Raw Position: 55.471543, 10.324293, 52.98 m | RSSI: -40.2 | Remote RSSI: -32.8
2024-12-06T11:19:43.003955 | Position: 55.471542, 10.324293, 53.08 m | Raw Position: 55.471543, 10.324293, 53.00 m | RSSI: -30.2 | Remote RSSI: -29.6
2024-12-06T11:19:44.003782 | Position: 55.471542, 10.324293, 53.08 m | Raw Position: 55.471543, 10.324293, 53.03 m | RSSI: -30.7 | Remote RSSI: -29.6
2024-12-06T11:19:45.003726 | Position: 55.471542, 10.324293, 53.08 m | Raw Position: 55.471543, 10.324293, 53.08 m | RSSI: -30.7 | Remote RSSI: -29.6
2024-12-06T11:19:46.003807 | Position: 55.471543, 10.324293, 53.09 m | Raw Position: 55.471544, 10.324293, 53.11 m | RSSI: -30.7 | Remote RSSI: -29.6
2024-12-06T11:19:47.004080 | Position: 55.471543, 10.324293, 53.10 m | Raw Position: 55.471544, 10.324293, 53.13 m | RSSI: -30.2 | Remote RSSI: -29.6
2024-12-06T11:19:48.003777 | Position: 55.471544, 10.324293, 53.14 m | Raw Position: 55.471544, 10.324293, 53.21 m | RSSI: -29.6 | Remote RSSI: -30.2
2024-12-06T11:19:49.003768 | Position: 55.471544, 10.324293, 53.20 m | Raw Position: 55.471544, 10.324293, 53.32 m | RSSI: -30.7 | Remote RSSI: -29.1
2024-12-06T11:19:50.003767 | Position: 55.471544, 10.324293, 53.23 m | Raw Position: 55.471544, 10.324293, 53.32 m | RSSI: -38.1 | Remote RSSI: -34.9
2024-12-06T11:19:51.003801 | Position: 55.471544, 10.324293, 53.32 m | Raw Position: 55.471544, 10.324293, 53.46 m | RSSI: -39.6 | Remote RSSI: -39.1
2024-12-06T11:19:52.003631 | Position: 55.471544, 10.324293, 53.39 m | Raw Position: 55.471544, 10.324293, 53.51 m | RSSI: -44.4 | Remote RSSI: -43.3
2024-12-06T11:19:53.003766 | Position: 55.471544, 10.324293, 53.45 m | Raw Position: 55.471544, 10.324293, 53.54 m | RSSI: -44.9 | Remote RSSI: -43.3
2024-12-06T11:19:54.003781 | Position: 55.471544, 10.324293, 53.50 m | Raw Position: 55.471544, 10.324293, 53.53 m | RSSI: -44.9 | Remote RSSI: -44.9
2024-12-06T11:19:55.003747 | Position: 55.471544, 10.324293, 53.49 m | Raw Position: 55.471544, 10.324293, 53.49 m | RSSI: -46.5 | Remote RSSI: -45.4
2024-12-06T11:19:56.003764 | Position: 55.471544, 10.324293, 53.51 m | Raw Position: 55.471544, 10.324293, 53.53 m | RSSI: -57.0 | Remote RSSI: -49.1
2024-12-06T11:19:57.003719 | Position: 55.471544, 10.324293, 53.52 m | Raw Position: 55.471544, 10.324293, 53.56 m | RSSI: -57.0 | Remote RSSI: -57.5
