========================================
Logging started: 2024-12-06T11:02:36.953321
========================================
2024-12-06T11:03:34.931306 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:35.931281 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:36.931450 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:37.931354 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:38.931335 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:39.931295 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:40.931282 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:41.931382 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:42.931715 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:43.931282 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:44.931274 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:45.931337 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:46.931293 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:47.931606 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:48.931565 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:49.931281 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:50.931574 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:51.931342 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:52.931296 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:53.931302 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:54.931403 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:55.931360 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:56.931353 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:57.931459 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:58.931353 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:03:59.931276 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:00.931701 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:01.931393 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:02.931328 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:03.931314 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:04.931349 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:05.931333 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:06.931385 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:07.931496 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:08.931282 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:09.931299 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:10.931318 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:11.931481 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:12.931361 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:13.931330 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:14.931308 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:15.931522 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:16.931290 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:17.931287 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:18.931355 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:19.931351 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:20.931327 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:21.931495 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:22.931380 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:23.931618 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:24.931292 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:25.931414 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:26.931614 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:27.931309 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:28.931507 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:29.931264 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:30.931315 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:31.931472 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:32.931293 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:33.931269 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:34.931386 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:35.931474 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:36.931311 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:37.931405 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:38.931311 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:39.931778 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:40.931555 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:41.931429 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:42.931410 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:43.931372 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:44.931349 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:45.931630 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:46.931538 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:47.931541 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:48.931546 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:49.931627 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:50.931596 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:51.931454 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:52.931516 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:53.931584 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:54.931376 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:55.931287 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:56.931585 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:57.931552 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:58.931407 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:04:59.931447 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:05:00.931389 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:05:01.931455 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:05:02.931498 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
2024-12-06T11:05:03.931524 | Position: N/A | Raw Position: N/A | RSSI: N/A | Remote RSSI: N/A
